"88","1700022805","80","2018/5/9 18:00:00","2018/5/15 01:11:51"
"89","1700022806","84","2018/5/9 18:00:00","2018/5/21 10:36:35"
"90","1700022807","85","2018/5/9 18:00:00",""
"91","1700022808","85","2018/5/9 18:00:00","2018/5/17 15:32:43"
"92","1700022810","82","2018/5/9 18:00:00",""
"93","1700022811","85","2018/5/9 18:00:00",""
"94","1700022812","89","2018/5/9 18:00:00","2018/5/15 10:35:24"
"95","1700022814","88","2018/5/9 18:00:00","2018/5/23 09:13:45"
"96","1700022816","88","2018/5/9 18:00:00",""
"97","1700022817","86","2018/5/9 18:00:00","2018/9/21 19:24:48"
"98","1700022818","91","2018/5/9 18:00:00",""
"99","1700022819","91","2018/5/9 18:00:00",""
"100","1700022820","82","2018/5/9 18:00:00",""
"101","1700022821","85","2018/5/9 18:00:00","2018/5/15 14:18:09"
"102","1700022822","88","2018/5/9 18:00:00","2018/5/15 09:46:45"
"103","1700022824","81","2018/5/9 18:00:00",""
"104","1700022825","81","2018/5/9 18:00:00","2018/5/15 11:45:40"
"105","1700022826","81","2018/5/9 18:00:00",""
"106","1700022827","91","2018/5/9 18:00:00",""
"107","1700022828","90","2018/5/9 18:00:00",""
"108","1700022829","90","2018/5/9 18:00:00","2018/5/16 09:13:01"
"109","1700022831","83","2018/5/9 18:00:00","2018/5/15 10:10:15"
"110","1700022832","90","2018/5/9 18:00:00",""
"111","1700022833","81","2018/5/9 18:00:00","2018/5/15 09:44:20"
"112","1700022834","77","2018/5/9 18:00:00","2018/5/16 09:35:10"
"113","1700022835","90","2018/5/9 18:00:00","2018/5/15 14:18:28"
"114","1700022836","79","2018/5/9 18:00:00",""
"115","1700022837","83","2018/5/9 18:00:00",""
"116","1700022838","91","2018/5/9 18:00:00","2018/5/18 09:57:14"
"117","1700022840","84","2018/5/9 18:00:00",""
"118","1700022841","91","2018/5/9 18:00:00","2018/5/22 13:56:47"
"119","1700022842","85","2018/5/9 18:00:00","2018/5/15 16:41:58"
"120","1700022843","88","2018/5/9 18:00:00",""
"121","1700022844","88","2018/5/9 18:00:00",""
"122","1700022845","91","2018/5/9 18:00:00",""
"123","1700022846","76","2018/5/9 18:00:00",""
"124","1700022847","84","2018/5/9 18:00:00",""
"125","1700022848","81","2018/5/9 18:00:00","2018/5/15 07:40:17"
"126","1700022850","81","2018/5/9 18:00:00",""
"127","1701210902","80","2018/5/9 18:00:00","2018/9/29 17:48:00"
"128","1700022792","58","2018/5/9 18:00:00",""
"129","1800022701","0","2018/5/9 18:00:00",""
"130","1800022702","0","2018/5/9 18:00:00",""
"131","1800022703","0","2018/5/9 18:00:00","2018/10/17 17:36:32"
"132","1800022704","0","2018/5/9 18:00:00",""
"133","1800022705","0","2018/5/9 18:00:00","2018/10/13 16:08:42"
"134","1800022706","0","2018/5/9 18:00:00",""
"135","1800022707","0","2018/5/9 18:00:00",""
"136","1800022708","0","2018/5/9 18:00:00",""
"137","1800022709","0","2018/5/9 18:00:00","2018/10/15 23:04:43"
"138","1800022710","0","2018/5/9 18:00:00",""
"139","1800022711","0","2018/5/9 18:00:00","2018/9/30 22:50:09"
"140","1800022712","0","2018/5/9 18:00:00",""
"141","1800022713","0","2018/5/9 18:00:00",""
"142","1800022714","0","2018/5/9 18:00:00","2018/10/9 21:54:45"
"143","1800022715","0","2018/5/9 18:00:00",""
"144","1800022716","0","2018/5/9 18:00:00","2018/10/5 20:43:11"
"145","1800022717","0","2018/5/9 18:00:00","2018/10/6 23:25:25"
"146","1800022718","0","2018/5/9 18:00:00","2018/9/28 10:27:05"
"147","1800022719","0","2018/5/9 18:00:00","2018/10/7 00:05:58"
"148","1800022720","0","2018/5/9 18:00:00",""
"149","1800022721","0","2018/5/9 18:00:00","2018/10/1 18:50:58"
"150","1800022722","0","2018/5/9 18:00:00",""
"151","1800022723","0","2018/5/9 18:00:00","2018/10/16 09:36:25"
"152","1800022724","0","2018/5/9 18:00:00","2018/10/16 16:06:14"
"153","1800022725","0","2018/5/9 18:00:00","2018/10/21 10:20:23"
"154","1800022726","0","2018/5/9 18:00:00","2018/10/28 17:07:15"
"155","1800022727","0","2018/5/9 18:00:00",""
"156","1800022728","0","2018/5/9 18:00:00","2018/10/7 22:41:14"
"157","1800022729","0","2018/5/9 18:00:00","2018/10/15 14:10:48"
"158","1800022730","0","2018/5/9 18:00:00","2018/10/23 20:16:23"
"159","1800022731","0","2018/5/9 18:00:00","2018/10/1 16:24:50"
"160","1800022732","0","2018/5/9 18:00:00",""
"161","1800022733","0","2018/5/9 18:00:00",""
"162","1800022734","0","2018/5/9 18:00:00","2018/10/20 00:55:24"
"163","1800022735","0","2018/5/9 18:00:00","2018/11/29 08:27:10"
"164","1800022736","0","2018/5/9 18:00:00","2018/10/2 09:35:04"
"165","1800022737","0","2018/5/9 18:00:00",""
"166","1800022738","0","2018/5/9 18:00:00",""
"167","1800022739","0","2018/5/9 18:00:00","2018/10/16 23:36:34"
"168","1800022740","0","2018/5/9 18:00:00","2018/10/1 16:25:10"
"169","1800022741","0","2018/5/9 18:00:00",""
"170","1800022742","0","2018/5/9 18:00:00","2018/11/22 15:37:59"
"171","1800022743","0","2018/5/9 18:00:00","2018/10/6 21:14:42"
"172","1800022744","0","2018/5/9 18:00:00","2018/10/5 18:10:02"
"173","1800022745","0","2018/5/9 18:00:00",""
"174","1800022746","0","2018/5/9 18:00:00","2018/9/30 16:22:30"
"175","1800022747","0","2018/5/9 18:00:00",""
"176","1800022748","0","2018/5/9 18:00:00",""
"177","1800022749","0","2018/5/9 18:00:00",""
"178","1800022750","0","2018/5/9 18:00:00","2018/9/29 22:52:13"
"179","1800022751","0","2018/5/9 18:00:00",""
"180","1800022752","0","2018/5/9 18:00:00",""
"181","1800022753","0","2018/5/9 18:00:00",""
"182","1800022754","0","2018/5/9 18:00:00","2018/10/6 17:39:06"
"183","1800022755","0","2018/5/9 18:00:00","2018/9/28 00:47:18"
"184","1800022756","0","2018/5/9 18:00:00","2018/10/4 15:10:35"
"185","1800022757","0","2018/5/9 18:00:00",""
"186","1800022758","0","2018/5/9 18:00:00",""
"187","1800022759","0","2018/5/9 18:00:00",""
"188","1800022760","0","2018/5/9 18:00:00","2018/12/3 19:58:59"
"189","1800022761","0","2018/5/9 18:00:00",""
"190","1800022762","0","2018/5/9 18:00:00",""
"191","1800022763","0","2018/5/9 18:00:00","2018/10/10 21:44:23"
"192","1800022764","0","2018/5/9 18:00:00",""
"193","1800022765","0","2018/5/9 18:00:00","2018/10/6 22:39:56"
"194","1800022766","0","2018/5/9 18:00:00",""
"195","1800022767","0","2018/5/9 18:00:00","2018/9/28 00:55:27"
"196","1800022768","0","2018/5/9 18:00:00","2018/10/3 09:48:08"
"197","1800022769","0","2018/5/9 18:00:00","2018/10/6 15:53:28"
"198","1800022770","0","2018/5/9 18:00:00","2018/10/7 14:35:48"
"199","1800022771","0","2018/5/9 18:00:00",""
"200","1800022772","0","2018/5/9 18:00:00",""
"201","1800022773","0","2018/5/9 18:00:00","2018/12/5 11:54:01"
"202","1800022774","0","2018/5/9 18:00:00",""
"203","1800022775","0","2018/5/9 18:00:00","2018/10/1 16:33:02"
"204","1800022776","0","2018/5/9 18:00:00",""
"205","1800022777","0","2018/5/9 18:00:00",""
"206","1800022778","0","2018/5/9 18:00:00","2018/11/27 23:02:46"
"207","1800022779","0","2018/5/9 18:00:00","2018/10/3 10:50:00"
"208","1800022780","0","2018/5/9 18:00:00",""
"209","1800022781","0","2018/5/9 18:00:00",""
"210","1800022782","0","2018/5/9 18:00:00","2018/10/8 14:13:50"
"211","1800022783","0","2018/5/9 18:00:00","2018/11/13 23:53:11"
"212","1800022784","0","2018/5/9 18:00:00",""
"213","1800022785","0","2018/5/9 18:00:00","2018/9/29 17:28:06"
"214","1800022786","0","2018/5/9 18:00:00",""
"215","1800022787","0","2018/5/9 18:00:00","2018/10/3 13:47:58"
"216","1800022788","0","2018/5/9 18:00:00","2018/10/8 09:30:00"
"217","1800022789","0","2018/5/9 18:00:00","2018/10/12 23:41:24"
"218","1800022790","0","2018/5/9 18:00:00",""
"219","1800022791","0","2018/5/9 18:00:00","2018/9/30 10:51:01"
"220","1800022792","0","2018/5/9 18:00:00",""
"221","1800022793","0","2018/5/9 18:00:00","2018/11/20 23:21:48"
"222","1800022794","0","2018/5/9 18:00:00","2018/9/30 11:57:12"
"223","1800022795","0","2018/5/9 18:00:00",""
"224","1800022796","0","2018/5/9 18:00:00",""
"225","1800022797","0","2018/5/9 18:00:00","2018/10/7 15:00:35"
"226","1800022798","0","2018/5/9 18:00:00","2018/10/22 21:36:26"
"227","1800022799","0","2018/5/9 18:00:00",""
"228","1800022800","0","2018/5/9 18:00:00","2018/10/16 09:30:48"
"229","1800022801","0","2018/5/9 18:00:00","2018/9/30 23:36:29"
"230","1800022802","0","2018/5/9 18:00:00",""
"231","1800022803","0","2018/5/9 18:00:00","2018/10/1 19:17:44"
"232","1800022804","0","2018/5/9 18:00:00","2018/10/3 07:59:22"
"233","1800022805","0","2018/5/9 18:00:00","2018/10/13 11:01:48"
"234","1800022806","0","2018/5/9 18:00:00","2018/10/2 00:06:14"
"235","1800022807","0","2018/5/9 18:00:00",""
"236","1800022808","0","2018/5/9 18:00:00","2018/10/17 19:48:13"
"237","1800022809","0","2018/5/9 18:00:00",""
"238","1800022810","0","2018/5/9 18:00:00","2018/10/5 19:07:55"
"239","1800022811","0","2018/5/9 18:00:00","2018/9/30 11:13:05"
"240","1800022812","0","2018/5/9 18:00:00","2018/10/2 11:24:26"
"241","1800022813","0","2018/5/9 18:00:00","2018/10/15 00:41:31"
"242","1800022814","0","2018/5/9 18:00:00","2018/10/3 13:55:52"
"243","1800022815","0","2018/5/9 18:00:00","2018/9/30 10:26:58"
"244","1800022816","0","2018/5/9 18:00:00",""
"245","1800022817","0","2018/5/9 18:00:00","2018/11/19 14:40:44"
"246","1800022818","0","2018/5/9 18:00:00","2018/9/29 16:41:16"
"247","1800022819","0","2018/5/9 18:00:00","2018/9/29 23:19:53"
"248","1800022820","0","2018/5/9 18:00:00","2018/9/30 14:07:01"
"249","1800022821","0","2018/5/9 18:00:00",""
"250","1800022822","0","2018/5/9 18:00:00","2018/11/11 20:54:06"
"251","1800022823","0","2018/5/9 18:00:00",""
"252","1800022824","0","2018/5/9 18:00:00",""
"253","1800022825","0","2018/5/9 18:00:00","2018/10/15 23:19:34"
"254","1800022826","0","2018/5/9 18:00:00",""
"255","1800022827","0","2018/5/9 18:00:00",""
"256","1800022828","0","2018/5/9 18:00:00",""
"257","1800022829","0","2018/5/9 18:00:00","2018/10/1 20:58:59"
"258","1800022830","0","2018/5/9 18:00:00",""
"259","1800022831","0","2018/5/9 18:00:00","2018/9/28 00:20:39"
"260","1800022832","0","2018/5/9 18:00:00",""
"261","1800022833","0","2018/5/9 18:00:00",""
"262","1800022834","0","2018/5/9 18:00:00","2018/11/13 10:07:47"
"263","1800022835","0","2018/5/9 18:00:00",""
